issue_d,loan_amnt,int_rate,term,grade,home_ownership,purpose,annual_inc,dti,fico,loan_status
2016-02-01,1746,15.67, 60 months,D,RENT,debt_consolidation,60192.0,13.98,614.0,Charged Off
2016-02-01,17860,7.63, 60 months,B,OWN,other,108738.0,5.72,701.0,Fully Paid
2016-02-01,4158,14.19, 36 months,D,MORTGAGE,small_business,58425.0,25.43,831.0,Fully Paid
2016-02-01,8185,18.29, 36 months,E,MORTGAGE,other,67594.0,13.3,695.0,Fully Paid
2016-02-01,26980,13.97, 36 months,C,MORTGAGE,credit_card,,20.23,626.0,Fully Paid
2016-02-01,28847,5.0, 60 months,A,MORTGAGE,small_business,133028.0,19.71,607.0,Charged Off
2016-02-01,16509,5.0, 60 months,A,MORTGAGE,small_business,74400.0,20.04,759.0,Fully Paid
2016-02-01,16551,5.0, 36 months,A,RENT,debt_consolidation,80253.0,20.58,650.0,Fully Paid
2016-02-01,5068,20.93, 36 months,F,OWN,credit_card,74484.0,6.36,688.0,Charged Off
2016-02-01,33074,5.23, 36 months,B,MORTGAGE,other,104092.0,0.81,791.0,Fully Paid
2016-02-01,18927,5.0, 36 months,A,OWN,debt_consolidation,123533.0,17.38,703.0,Fully Paid
2016-02-01,16552,5.0, 36 months,A,RENT,debt_consolidation,74837.0,18.88,,Fully Paid
2016-02-01,10427,14.17, 36 months,D,RENT,small_business,77945.0,3.49,722.0,Charged Off
2016-02-01,7355,5.0, 36 months,A,MORTGAGE,credit_card,98332.0,17.29,777.0,Fully Paid
2016-02-01,29697,5.0, 36 months,A,RENT,credit_card,105055.0,2.47,662.0,Fully Paid
2016-02-01,19474,5.0, 60 months,A,RENT,small_business,106094.0,18.92,821.0,Fully Paid
2016-02-01,13187,7.99, 60 months,B,MORTGAGE,other,111420.0,38.0,725.0,Charged Off
2016-02-01,10518,13.32, 36 months,D,RENT,debt_consolidation,98478.0,7.82,830.0,Fully Paid
2016-02-01,31645,11.77, 36 months,C,,debt_consolidation,103475.0,,741.0,Fully Paid
2016-02-01,6407,5.0, 36 months,A,RENT,debt_consolidation,59186.0,30.69,694.0,Fully Paid
2016-02-01,31231,18.09, 36 months,E,RENT,credit_card,90882.0,23.99,608.0,Fully Paid
2016-02-01,32752,14.3, 36 months,D,RENT,credit_card,76091.0,6.12,737.0,Fully Paid
2016-02-01,2026,20.72, 36 months,E,MORTGAGE,debt_consolidation,76895.0,0.0,604.0,Charged Off
2016-02-01,19500,13.8, 36 months,C,MORTGAGE,other,74451.0,4.99,631.0,Fully Paid
2016-02-01,27209,23.47, 36 months,G,,other,111942.0,2.9,774.0,Fully Paid
2016-02-01,23962,18.51, 36 months,E,MORTGAGE,debt_consolidation,56604.0,15.15,732.0,Fully Paid
2016-02-01,30173,7.81, 36 months,B,RENT,credit_card,71003.0,12.55,766.0,Fully Paid
2016-02-01,11015,10.57, 36 months,C,OWN,debt_consolidation,75689.0,6.38,821.0,Fully Paid
2016-02-01,29104,5.0, 36 months,A,MORTGAGE,debt_consolidation,,14.62,726.0,Fully Paid
2016-02-01,33760,24.29, 36 months,G,MORTGAGE,debt_consolidation,72917.0,4.5,790.0,Fully Paid
2016-02-01,20067,16.08, 36 months,D,RENT,home_improvement,41717.0,25.02,605.0,Fully Paid
2016-02-01,34643,18.29, 36 months,E,RENT,debt_consolidation,57523.0,1.92,644.0,Fully Paid
2016-02-01,6748,22.34, 36 months,F,RENT,debt_consolidation,56484.0,12.16,602.0,Fully Paid
2016-02-01,16639,14.0, 60 months,D,OWN,debt_consolidation,83317.0,17.58,735.0,Fully Paid
2016-02-01,3772,17.5, 36 months,E,OWN,debt_consolidation,58236.0,18.0,673.0,Fully Paid
2016-02-01,28383,8.67, 36 months,B,MORTGAGE,home_improvement,96885.0,13.53,683.0,Fully Paid
2016-02-01,24951,5.0, 36 months,A,RENT,debt_consolidation,,3.13,688.0,Fully Paid
2016-02-01,12119,13.67, 60 months,C,MORTGAGE,debt_consolidation,54329.0,20.28,633.0,Charged Off
2016-02-01,31924,15.38, 60 months,D,RENT,credit_card,,13.78,693.0,Fully Paid
2016-02-01,6033,10.71, 36 months,C,RENT,debt_consolidation,,30.75,848.0,Fully Paid
2016-02-01,10328,5.84, 60 months,B,OWN,credit_card,76241.0,16.47,782.0,Fully Paid
2016-02-01,7186,5.0, 36 months,A,OWN,credit_card,40671.0,11.5,719.0,Fully Paid
2016-02-01,18597,8.72, 36 months,C,MORTGAGE,credit_card,96634.0,17.7,807.0,Fully Paid
2016-02-01,3265,18.62, 36 months,F,MORTGAGE,small_business,73263.0,19.43,727.0,Fully Paid
2016-02-01,8874,8.2, 36 months,B,MORTGAGE,debt_consolidation,77465.0,22.25,649.0,Charged Off
2016-02-01,16312,5.0, 36 months,A,OWN,debt_consolidation,97969.0,,721.0,Fully Paid
2016-02-01,15368,5.62, 36 months,B,OWN,debt_consolidation,81054.0,12.94,801.0,Fully Paid
2016-02-01,6554,15.62, 36 months,E,MORTGAGE,debt_consolidation,44649.0,9.24,814.0,Fully Paid
2016-03-01,32809,16.39, 36 months,D,OWN,debt_consolidation,43762.0,6.96,652.0,Charged Off
2016-03-01,32941,7.04, 36 months,B,OWN,debt_consolidation,125273.0,17.22,696.0,Fully Paid
2016-03-01,2018,7.12, 36 months,B,MORTGAGE,debt_consolidation,79954.0,20.46,767.0,Fully Paid
2016-03-01,22595,20.47, 36 months,F,MORTGAGE,debt_consolidation,28104.0,26.68,668.0,Fully Paid
2016-03-01,30220,16.79, 36 months,E,MORTGAGE,debt_consolidation,70159.0,19.53,713.0,Fully Paid
2016-03-01,18024,15.93, 36 months,D,OWN,home_improvement,82178.0,18.73,662.0,Fully Paid
2016-03-01,2019,19.01, 36 months,F,RENT,debt_consolidation,82459.0,0.0,743.0,Fully Paid
2016-03-01,26877,8.62, 36 months,B,MORTGAGE,small_business,80358.0,3.3,651.0,Fully Paid
2016-03-01,8101,12.78, 60 months,C,RENT,debt_consolidation,65067.0,10.25,699.0,Fully Paid
2016-03-01,30019,15.76, 36 months,D,MORTGAGE,credit_card,116300.0,18.01,659.0,Fully Paid
2016-03-01,29810,13.86, 36 months,D,RENT,debt_consolidation,63800.0,6.55,791.0,Fully Paid
2016-03-01,28879,7.59, 60 months,B,RENT,credit_card,79349.0,0.0,618.0,Fully Paid
2016-03-01,10171,5.0, 60 months,A,RENT,other,47039.0,0.31,819.0,Fully Paid
2016-03-01,16108,5.3, 60 months,B,,credit_card,124739.0,19.5,758.0,Fully Paid
2016-03-01,27883,5.0, 36 months,A,MORTGAGE,debt_consolidation,132581.0,11.04,609.0,Fully Paid
2016-03-01,3377,5.0, 36 months,A,MORTGAGE,other,123769.0,16.86,625.0,Fully Paid
2016-03-01,16537,14.91, 36 months,E,MORTGAGE,debt_consolidation,73236.0,24.03,795.0,Fully Paid
2016-03-01,9580,18.04, 60 months,F,RENT,credit_card,67754.0,7.61,835.0,Fully Paid
2016-03-01,25860,5.0, 60 months,A,MORTGAGE,credit_card,89229.0,19.75,819.0,Fully Paid
2016-03-01,33843,5.0, 36 months,A,OWN,credit_card,84360.0,20.97,707.0,Fully Paid
2016-03-01,22192,16.23, 36 months,E,MORTGAGE,other,56876.0,1.81,769.0,Charged Off
2016-03-01,12280,13.78, 60 months,C,OWN,home_improvement,56293.0,3.5,604.0,Fully Paid
2016-03-01,32665,10.73, 36 months,C,RENT,small_business,33130.0,0.11,822.0,Fully Paid
2016-03-01,17468,5.8, 36 months,B,RENT,debt_consolidation,109663.0,10.85,828.0,Charged Off
2016-03-01,4138,5.0, 36 months,A,OWN,small_business,117294.0,23.67,766.0,Fully Paid
2016-03-01,30534,12.92, 36 months,C,RENT,debt_consolidation,123770.0,0.0,710.0,Fully Paid
2016-03-01,30339,17.02, 36 months,E,OWN,small_business,86709.0,16.34,740.0,Fully Paid
2016-03-01,25281,21.4, 60 months,F,MORTGAGE,debt_consolidation,116346.0,2.18,633.0,Fully Paid
2016-03-01,16139,13.34, 36 months,D,RENT,debt_consolidation,53253.0,27.73,804.0,Fully Paid
2016-03-01,19155,5.0, 36 months,A,RENT,debt_consolidation,78138.0,10.65,734.0,Fully Paid
2016-03-01,4205,5.0, 36 months,A,RENT,credit_card,47220.0,14.71,728.0,Fully Paid
2016-03-01,15144,13.77, 36 months,D,RENT,small_business,88691.0,3.69,,Fully Paid
2016-03-01,12418,18.19, 60 months,E,MORTGAGE,debt_consolidation,99135.0,9.16,,Fully Paid
2016-03-01,31571,5.0, 36 months,A,MORTGAGE,debt_consolidation,75302.0,19.06,658.0,Charged Off
2016-03-01,8230,17.73, 36 months,E,MORTGAGE,credit_card,62389.0,18.27,663.0,Fully Paid
2016-03-01,34713,10.62, 36 months,C,RENT,debt_consolidation,58878.0,0.0,760.0,Fully Paid
2016-03-01,18826,18.53, 36 months,E,RENT,credit_card,73430.0,12.35,681.0,Fully Paid
2016-04-01,8686,18.29, 60 months,E,MORTGAGE,credit_card,57973.0,21.73,656.0,Fully Paid
2016-04-01,26954,16.53, 36 months,E,RENT,debt_consolidation,69359.0,25.83,729.0,Fully Paid
2016-04-01,17955,25.94, 60 months,G,MORTGAGE,home_improvement,88404.0,27.96,664.0,Fully Paid
2016-04-01,27291,18.91, 36 months,F,MORTGAGE,credit_card,98874.0,11.22,739.0,Fully Paid
2016-04-01,31176,5.0, 36 months,A,OWN,credit_card,49706.0,29.96,720.0,Fully Paid
2016-04-01,18226,9.28, 36 months,B,,debt_consolidation,70080.0,9.17,600.0,Fully Paid
2016-04-01,28792,14.81, 36 months,D,OWN,debt_consolidation,,16.68,779.0,Fully Paid
2016-04-01,12892,14.1, 60 months,E,RENT,other,83899.0,20.64,847.0,Fully Paid
2016-04-01,4256,12.85, 36 months,C,MORTGAGE,credit_card,62675.0,24.38,706.0,Charged Off
2016-04-01,16317,11.15, 36 months,C,OWN,credit_card,54826.0,27.38,844.0,Fully Paid
2016-04-01,29845,5.0, 36 months,A,MORTGAGE,debt_consolidation,77261.0,9.0,,Fully Paid
2016-04-01,2055,14.52, 60 months,E,RENT,credit_card,88836.0,9.28,833.0,Fully Paid
2016-04-01,15367,13.39, 36 months,C,MORTGAGE,other,67793.0,,600.0,Fully Paid
2016-04-01,21220,5.95, 36 months,B,RENT,small_business,63996.0,3.6,790.0,Fully Paid
2016-04-01,3905,16.76, 60 months,D,MORTGAGE,other,54282.0,12.87,685.0,Charged Off
2016-04-01,26118,17.24, 36 months,E,RENT,small_business,21594.0,12.0,701.0,Fully Paid
2016-04-01,26810,16.7, 60 months,D,RENT,debt_consolidation,65230.0,19.1,605.0,Charged Off
2016-04-01,32995,10.08, 60 months,C,MORTGAGE,debt_consolidation,62142.0,14.01,842.0,Fully Paid
2016-04-01,2478,7.9, 60 months,B,RENT,debt_consolidation,87379.0,8.06,641.0,Fully Paid
2016-04-01,27868,16.82, 36 months,E,MORTGAGE,debt_consolidation,53656.0,13.28,764.0,Fully Paid
2016-04-01,19580,20.37, 36 months,F,MORTGAGE,debt_consolidation,73952.0,0.7,,Fully Paid
2016-04-01,18943,7.55, 36 months,B,RENT,small_business,96116.0,15.36,664.0,Fully Paid
2016-04-01,2871,10.33, 36 months,C,MORTGAGE,debt_consolidation,53580.0,10.08,825.0,Fully Paid
2016-04-01,7808,5.01, 60 months,B,MORTGAGE,small_business,77309.0,0.0,844.0,Charged Off
2016-04-01,30407,5.14, 36 months,B,RENT,other,64615.0,19.52,782.0,Fully Paid
2016-04-01,4237,5.0, 36 months,A,RENT,debt_consolidation,83769.0,,717.0,Fully Paid
2016-04-01,12675,12.85, 60 months,D,RENT,debt_consolidation,89097.0,18.5,819.0,Fully Paid
2016-04-01,2744,21.66, 36 months,F,MORTGAGE,other,28532.0,21.08,661.0,Charged Off
2016-04-01,25160,5.0, 60 months,B,RENT,home_improvement,79660.0,,816.0,Fully Paid
2016-04-01,10701,13.26, 36 months,C,RENT,credit_card,82864.0,8.15,639.0,Fully Paid
2016-04-01,14148,5.95, 36 months,B,RENT,small_business,85504.0,11.86,827.0,Fully Paid
2016-04-01,6799,5.0, 36 months,A,RENT,debt_consolidation,69396.0,18.4,830.0,Fully Paid
2016-04-01,25899,13.23, 36 months,C,RENT,debt_consolidation,78601.0,43.4,696.0,Fully Paid
2016-04-01,5807,5.0, 36 months,A,OWN,credit_card,102222.0,7.28,633.0,Fully Paid
2016-04-01,5484,24.73, 60 months,G,OWN,debt_consolidation,74036.0,17.93,707.0,Fully Paid
2016-04-01,3880,14.1, 36 months,E,RENT,small_business,32415.0,12.4,840.0,Fully Paid
2016-04-01,11156,5.0, 36 months,A,MORTGAGE,small_business,64703.0,9.28,603.0,Fully Paid
2016-04-01,16151,5.0, 60 months,A,OWN,debt_consolidation,92029.0,18.45,696.0,Fully Paid
2016-04-01,4966,13.6, 36 months,C,OWN,other,78670.0,15.23,642.0,Fully Paid
2016-04-01,24806,5.0, 36 months,A,MORTGAGE,debt_consolidation,87176.0,11.41,747.0,Fully Paid
2016-04-01,13245,5.93, 36 months,B,OWN,other,77567.0,20.07,724.0,Fully Paid
2016-04-01,31241,15.83, 36 months,E,OWN,credit_card,88440.0,22.06,788.0,Fully Paid
2016-04-01,25945,8.49, 60 months,B,RENT,credit_card,49035.0,11.09,698.0,Fully Paid
2016-04-01,3393,17.0, 36 months,E,RENT,home_improvement,64713.0,24.21,789.0,Fully Paid
2016-05-01,30377,7.62, 60 months,B,RENT,credit_card,42182.0,11.01,753.0,Fully Paid
2016-05-01,31438,22.68, 36 months,G,MORTGAGE,credit_card,70966.0,25.96,849.0,Fully Paid
2016-05-01,29075,5.0, 36 months,A,RENT,debt_consolidation,103612.0,13.97,721.0,Fully Paid
2016-05-01,4449,11.04, 36 months,C,OWN,credit_card,62921.0,12.55,841.0,Fully Paid
2016-05-01,34271,14.87, 36 months,E,OWN,home_improvement,91883.0,11.27,789.0,Fully Paid
2016-05-01,31176,5.0, 36 months,A,RENT,debt_consolidation,53390.0,24.56,633.0,Fully Paid
2016-05-01,6670,12.47, 36 months,C,OWN,credit_card,57110.0,28.75,747.0,Fully Paid
2016-05-01,1866,18.36, 60 months,F,MORTGAGE,debt_consolidation,81233.0,17.43,826.0,Fully Paid
2016-05-01,29858,7.47, 60 months,B,RENT,debt_consolidation,65475.0,9.02,712.0,Fully Paid
2016-05-01,10546,12.12, 36 months,C,RENT,debt_consolidation,75575.0,16.87,735.0,Fully Paid
2016-05-01,24108,12.93, 36 months,C,MORTGAGE,debt_consolidation,43799.0,17.08,694.0,Fully Paid
2016-05-01,31595,5.0, 60 months,A,RENT,debt_consolidation,86156.0,10.26,685.0,Fully Paid
2016-05-01,10992,14.07, 36 months,D,OWN,credit_card,104592.0,23.21,738.0,Fully Paid
2016-05-01,17787,6.47, 36 months,B,OWN,credit_card,36538.0,10.25,794.0,Fully Paid
2016-05-01,3547,10.82, 36 months,C,RENT,small_business,50320.0,4.29,741.0,Fully Paid
2016-05-01,2283,5.0, 36 months,A,RENT,small_business,,10.23,,Fully Paid
2016-05-01,31658,16.11, 36 months,D,RENT,credit_card,120899.0,14.23,723.0,Fully Paid
2016-05-01,29871,5.0, 36 months,A,MORTGAGE,credit_card,73374.0,9.4,709.0,Fully Paid
2016-05-01,11035,5.0, 36 months,A,RENT,other,122501.0,7.77,701.0,Fully Paid
2016-05-01,5773,5.0, 60 months,A,,debt_consolidation,70957.0,0.0,727.0,Fully Paid
2016-05-01,18239,13.23, 36 months,C,RENT,credit_card,115133.0,13.55,664.0,Fully Paid
2016-05-01,31719,5.0, 36 months,A,RENT,debt_consolidation,82070.0,32.77,708.0,Fully Paid
2016-05-01,28499,13.09, 36 months,C,OWN,home_improvement,37963.0,14.23,652.0,Fully Paid
2016-05-01,12506,26.15, 60 months,G,RENT,credit_card,51163.0,16.26,696.0,Charged Off
2016-05-01,24131,14.91, 36 months,E,RENT,credit_card,98883.0,17.18,847.0,Fully Paid
2016-05-01,27385,23.57, 36 months,G,OWN,credit_card,105093.0,12.6,771.0,Charged Off
2016-05-01,28031,13.51, 60 months,D,OWN,other,88126.0,18.42,788.0,Fully Paid
2016-05-01,1316,12.51, 60 months,C,MORTGAGE,credit_card,84764.0,21.23,836.0,Fully Paid
2016-05-01,13321,5.0, 36 months,A,MORTGAGE,debt_consolidation,89178.0,24.02,754.0,Fully Paid
2016-05-01,20919,5.0, 60 months,A,MORTGAGE,credit_card,42933.0,,640.0,Fully Paid
2016-05-01,4036,16.2, 36 months,D,RENT,credit_card,101448.0,19.69,705.0,Charged Off
2016-05-01,1714,13.76, 36 months,D,OWN,credit_card,59337.0,9.82,830.0,Fully Paid
2016-05-01,21436,12.3, 36 months,C,RENT,small_business,66468.0,7.79,789.0,Fully Paid
2016-05-01,21790,5.0, 60 months,A,MORTGAGE,credit_card,127466.0,2.05,639.0,Fully Paid
2016-05-01,31487,12.79, 60 months,C,RENT,other,,6.5,742.0,Fully Paid
2016-05-01,12060,5.0, 36 months,A,RENT,debt_consolidation,59281.0,11.8,683.0,Fully Paid
2016-05-01,19410,17.19, 36 months,E,OWN,small_business,91869.0,31.06,798.0,Fully Paid
2016-05-01,28305,16.89, 36 months,E,MORTGAGE,other,89519.0,33.65,767.0,Fully Paid
2016-05-01,21317,13.96, 60 months,D,RENT,debt_consolidation,76752.0,15.85,705.0,Fully Paid
2016-05-01,24265,5.0, 36 months,A,RENT,credit_card,80562.0,19.64,,Fully Paid
2016-05-01,2085,8.77, 36 months,B,RENT,debt_consolidation,87536.0,15.06,617.0,Fully Paid
2016-05-01,22784,18.94, 36 months,F,OWN,other,97244.0,19.06,713.0,Charged Off
2016-05-01,34000,10.92, 36 months,C,RENT,credit_card,60684.0,28.86,739.0,Fully Paid
2016-05-01,19660,5.0, 36 months,A,RENT,credit_card,90210.0,,752.0,Fully Paid
2016-05-01,6198,11.03, 36 months,C,,credit_card,67622.0,8.44,821.0,Fully Paid
2016-05-01,11111,13.33, 36 months,C,RENT,credit_card,72456.0,20.92,701.0,Charged Off
2016-05-01,34661,21.0, 60 months,F,OWN,home_improvement,59223.0,16.2,630.0,Charged Off
2016-05-01,17203,5.0, 36 months,A,RENT,debt_consolidation,119117.0,11.6,629.0,Fully Paid
2016-05-01,28281,5.0, 60 months,A,RENT,debt_consolidation,25916.0,9.86,834.0,Fully Paid
2016-05-01,9270,17.01, 36 months,F,RENT,debt_consolidation,91424.0,14.08,793.0,Fully Paid
2016-06-01,20086,18.76, 36 months,E,MORTGAGE,home_improvement,110999.0,16.64,626.0,Charged Off
2016-06-01,14151,6.45, 36 months,B,RENT,debt_consolidation,89823.0,0.0,758.0,Fully Paid
2016-06-01,32279,5.0, 60 months,A,RENT,debt_consolidation,72436.0,25.64,625.0,Fully Paid
2016-06-01,29892,14.91, 36 months,D,MORTGAGE,credit_card,59923.0,23.94,669.0,Charged Off
2016-06-01,22806,18.46, 60 months,F,,debt_consolidation,74099.0,9.38,821.0,Fully Paid
2016-06-01,29349,10.11, 60 months,C,RENT,debt_consolidation,55232.0,18.16,801.0,Fully Paid
2016-06-01,23340,5.0, 60 months,A,RENT,small_business,101474.0,5.75,811.0,Fully Paid
2016-06-01,28416,15.72, 36 months,D,MORTGAGE,debt_consolidation,54593.0,,619.0,Fully Paid
2016-06-01,23628,5.79, 60 months,B,RENT,home_improvement,92652.0,6.56,824.0,Fully Paid
2016-06-01,9476,6.75, 36 months,B,MORTGAGE,small_business,55817.0,7.05,772.0,Fully Paid
2016-06-01,33463,14.83, 60 months,D,OWN,debt_consolidation,113893.0,4.57,746.0,Fully Paid
2016-06-01,17546,14.45, 36 months,D,MORTGAGE,debt_consolidation,34994.0,13.55,743.0,Charged Off
2016-06-01,24244,5.0, 36 months,A,RENT,debt_consolidation,108830.0,22.3,615.0,Fully Paid
2016-06-01,33660,5.0, 60 months,A,MORTGAGE,credit_card,,14.41,656.0,Fully Paid
2016-06-01,18074,13.43, 36 months,D,OWN,small_business,78936.0,26.16,848.0,Fully Paid
2016-06-01,6885,5.0, 36 months,A,RENT,debt_consolidation,107749.0,10.72,619.0,Fully Paid
2016-06-01,5609,5.0, 36 months,A,OWN,debt_consolidation,52131.0,22.11,786.0,Fully Paid
2016-06-01,16492,12.07, 36 months,C,MORTGAGE,debt_consolidation,40769.0,10.85,708.0,Fully Paid
2016-06-01,9318,17.83, 36 months,F,MORTGAGE,home_improvement,81712.0,0.0,793.0,Fully Paid
2016-06-01,11956,13.79, 60 months,D,RENT,debt_consolidation,59654.0,12.16,753.0,Fully Paid
2016-06-01,32958,13.88, 36 months,C,OWN,credit_card,87362.0,9.48,649.0,Fully Paid
2016-06-01,7736,14.56, 60 months,D,RENT,small_business,,4.43,711.0,Fully Paid
2016-06-01,20269,11.64, 36 months,C,MORTGAGE,debt_consolidation,72960.0,13.94,759.0,Charged Off
2016-06-01,20166,5.0, 36 months,A,MORTGAGE,debt_consolidation,72515.0,25.15,611.0,Fully Paid
2016-06-01,28102,10.53, 36 months,C,RENT,other,46158.0,6.12,788.0,Fully Paid
2016-06-01,7039,9.95, 60 months,C,MORTGAGE,debt_consolidation,43644.0,11.02,828.0,Charged Off
2016-06-01,7286,12.06, 60 months,C,RENT,credit_card,68442.0,5.0,683.0,Charged Off
2016-06-01,22127,13.1, 36 months,C,RENT,home_improvement,89351.0,6.58,641.0,Charged Off
2016-06-01,7884,5.0, 36 months,A,RENT,debt_consolidation,117394.0,15.95,614.0,Fully Paid
2016-06-01,28817,14.59, 60 months,D,OWN,home_improvement,90746.0,15.34,699.0,Fully Paid
2016-06-01,23468,8.69, 60 months,B,RENT,small_business,73179.0,13.57,620.0,Charged Off
2016-06-01,3430,16.21, 36 months,D,RENT,credit_card,114290.0,28.12,601.0,Charged Off
2016-06-01,17842,17.52, 36 months,E,MORTGAGE,debt_consolidation,72452.0,19.79,712.0,Fully Paid
2016-06-01,33807,7.11, 60 months,B,OWN,debt_consolidation,66035.0,8.79,725.0,Fully Paid
2016-06-01,32933,13.79, 36 months,D,RENT,debt_consolidation,71391.0,10.84,743.0,Fully Paid
2016-06-01,28143,15.55, 36 months,D,MORTGAGE,credit_card,79926.0,24.7,677.0,Charged Off
2016-06-01,31917,10.88, 36 months,C,RENT,debt_consolidation,52234.0,0.36,798.0,Fully Paid
2016-06-01,19503,7.95, 36 months,B,MORTGAGE,credit_card,72764.0,16.13,621.0,Charged Off
2016-06-01,14977,5.0, 36 months,A,OWN,credit_card,106743.0,23.98,849.0,Fully Paid
2016-06-01,12546,5.0, 36 months,A,RENT,home_improvement,53925.0,18.06,793.0,Fully Paid
2016-06-01,29957,7.3, 36 months,B,RENT,debt_consolidation,71176.0,10.3,700.0,Fully Paid
2016-06-01,17282,12.5, 36 months,D,RENT,debt_consolidation,47976.0,16.66,712.0,Fully Paid
2016-06-01,11533,5.0, 36 months,A,MORTGAGE,debt_consolidation,81195.0,5.99,747.0,Fully Paid
2016-07-01,13615,19.76, 60 months,F,OWN,debt_consolidation,98038.0,20.18,754.0,Fully Paid
